Lovers of Hate,Linn Wykey,19,80,60.82
3-Iron (Bin-jip),Kare Phifer,1,21,125.54
Luck by Chance,Izabel Whalley,2,65,184.55
Alice in Wonderland,Gareth Standish,13,51,197.09
Sahara,Earlie Bigg,16,31,200.74
Better Than Chocolate,Shandra Slorach,13,28,223.95
Dolphin Tale 2,Felicle Rainton,5,22,115.28
Rovaniemen markkinoilla,Sigfried Talboy,8,37,196.3
"Two Women (Ciociara, La)",Britt Balleine,2,43,234.09
Glowing Stars,Bliss Gershom,19,26,66.12
"Edge of the World, The",Shepard Toomer,20,57,131.15
"Wash, The",Alexine Pim,4,63,240.93
Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),Cortie Froom,16,59,151.64
Flu Bird,Dannie Carthy,12,56,77.61
Cass,Pamella Pitkaithly,17,54,85.25
Boris Godunov,Elsy Farrar,2,51,36.56
Big Animal (Duze zwierze),Kenn Szanto,3,65,100.45
Feiern,Quint Skermer,18,48,187.1
"Jerky Boys, The",Leyla Anfosso,11,51,100.29
Fast Food,Maye Newbury,18,20,166.23
Dances with Wolves,Delcina Butterwick,17,29,235.52
"Spitfire Grill, The",Corina Fountian,1,41,248.94
Light the Fuse... Sartana Is Coming,Udall Mulvihill,13,28,218.99
Mr. 3000,Jelene Cramer,8,61,38.27
Employees' Entrance,Gilberte McNuff,14,51,98.99
"Life and Nothing But (Vie et rien d'autre, La)",Kerby Sedgeworth,18,20,132.72
Radiohead: Meeting People Is Easy,Ruby Armitt,4,80,197.08
Suzy,Brandy Wolfarth,8,71,71.85
Ways to Live Forever,Silvana Alabastar,2,79,233.57
Mercury Rising,Jolene Defrain,8,49,90.3
"Bone Collector, The",Hulda Sloane,9,67,66.36
Crave,Bobine Espinosa,17,66,87.7
"Color of Friendship, The",Micheline Struss,15,65,195.45
Soldier,Javier McDowell,6,37,62.7
One-Eyed Jacks,Sena Berr,11,53,193.99
360,Venita Fforde,14,72,31.14
Joe Somebody,Lidia Janaszewski,9,29,169.68
"Shadow, The",Trude Gillford,2,41,89.58
Call Me Savage,Paolina Beenham,2,72,76.09
Ernest Scared Stupid,Lesly Twyford,20,72,181.0
They Came to Cordura,Sheffield Coulson,5,63,195.67
Goodbye World,Carma Giacopazzi,7,47,120.31
Beyond Tomorrow (Beyond Christmas),Raye Silkston,12,65,175.61
Vampire's Kiss,Tim Bygraves,17,42,192.33
My Big Fat Greek Wedding,Fremont Bampfield,17,60,39.75
Vamps,Sheeree Domb,17,40,184.29
"Devil and Daniel Webster, The (All That Money Can Buy)",Onfroi Pellman,20,45,76.11
Rubin and Ed,Carolina Gomm,5,75,155.18
"Last Castle, The",Dennet Rowthorn,1,49,227.38
"Caddy, The",Leroi Kinsman,1,53,247.89
The Smiling Ghost,Phaidra Belitz,11,71,233.32
Pluto's Christmas Tree,Eve Gresser,14,42,40.18
Madadayo (a.k.a. Not Yet),Sileas Tallowin,14,74,219.43
"Fabulous Baker Boys, The",Sherlock Pawellek,10,79,35.82
No Strings Attached,Shirleen Guilfoyle,5,67,83.6
Young Doctors in Love,Lefty Meininking,14,72,126.56
I Still Know What You Did Last Summer,Babette Lockyear,2,70,174.35
Don't Look Now,Mirabelle Nerne,16,25,79.27
Family United (La gran familia española),Mikkel O'Neill,16,31,166.39
"Boynton Beach Bereavement Club, The",Sheeree Bothen,1,28,214.43
"Majestic, The",Joeann Bosenworth,3,32,198.93
Angel of Mine (a.k.a. The Mark of an Angel) (L'empreinte de l'ange),Magda McCullouch,14,35,136.97
"Fourth Protocol, The",Alverta Strange,19,26,246.5
Walkabout,Katey De Haven,11,58,231.7
Princess Raccoon (Operetta tanuki goten),Der Gianelli,1,68,107.58
"Eyes of Tammy Faye, The",April Kirsopp,2,29,114.98
"Passionate Friends, The (a.k.a. One Woman's Story)",Kissiah Plan,14,20,98.37
Black Gold,Faustine Elsegood,17,36,37.54
Mega Piranha,Dorolice Grzegorzewicz,12,66,44.02
"Slender Thread, The",Daffy Sacase,2,28,148.73
Team America: World Police,Giles Eborall,14,34,200.81
"Blue Dahlia, The",Gwenneth MacKey,6,36,165.87
Magnum Force,Joann Lough,13,33,201.14
"Devil's Tomb, The",Augustina Leefe,14,31,228.49
Hansel & Gretel: Witch Hunters,Nil Atack,16,40,166.09
"Holy Innocents, The (Santos inocentes, Los)",Hendrik Brooksby,20,70,48.97
Muhammad Ali's Greatest Fight,Korney Prinne,3,76,223.31
"Hobbit: An Unexpected Journey, The",Demetrius Prodrick,8,77,63.63
"Maltese Falcon, The",Stevana McGahey,20,76,68.13
Beyond the Mind's Eye,Demeter Storcke,5,50,214.28
Night on the Galactic Railroad (Ginga-tetsudo no yoru),Traver Behr,16,43,142.49
"List of Adrian Messenger, The",Aldis Garrals,14,73,186.51
Record of a Tenement Gentleman (Nagaya shinshiroku),Ignaz Gemmell,16,47,64.81
Castle of Blood,Marsha Thomazin,11,22,235.2
Topsy-Turvy,Bartolemo Karadzas,20,33,228.87
Red Dragon,Fredric Crilley,9,54,164.24
Lure of the Sila,Orella Leys,15,80,48.99
"Huey P. Newton Story, A",Mabel Molyneaux,4,52,73.18
Dark and Stormy Night,Sharity Marrion,5,26,111.97
Scarecrows,Eldin Readmire,14,75,226.58
Three Times (Zui hao de shi guang),Lane Ciepluch,18,33,104.58
Arachnophobia,Christiane Drew-Clifton,11,21,213.06
Malice N Wonderland,Allyn Haslewood,17,21,120.31
Drona,Ansley Hugill,15,46,37.17
Diabolique (Les diaboliques),Raul Reeveley,7,28,145.08
Pépé le Moko,Francine Bortolotti,7,63,55.81
In Time,Pippa Oughton,6,51,164.55
Tom Petty and the Heartbreakers: Runnin' Down a Dream,Zsa zsa Currier,2,53,81.85
Final Analysis,Eugenio Kingaby,11,75,90.81
Macbeth,Melony d' Elboux,15,29,230.6
Strange Magic,Lily Richardot,17,45,89.21
3096 Days,Wenda Rangeley,11,77,67.28
Between Miracles,Emanuel Swainger,15,63,80.54
Halloween,Shellie Tomowicz,8,50,140.78
Night Nurse,Trumann Erik,5,45,116.99
Tin Men,Josiah Haysham,14,55,66.34
Living Death,Randene McMinn,15,33,197.57
Suzhou River (Suzhou he),Hughie Barbier,20,52,229.86
MR 73 (a.k.a. The Last Deadly Mission),Mavis Macken,1,33,117.15
Dating the Enemy,Maddy Perschke,11,60,189.16
"Chamber, The",Eryn Jarrel,14,25,221.79
Death to Smoochy,Lettie Hilary,18,51,172.23
Living with Wolves,Cristabel Ditty,15,20,161.12
Digimon: The Movie,Trumaine Sutheran,15,78,127.68
Lilo & Stitch,Chev Betz,15,37,111.4
2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her),Claudina Brounsell,15,38,165.4
Dune,Maryrose Sheer,10,73,102.13
Carbon Copy,Charley Collymore,8,25,199.17
Moon of the Wolf,Alaric Oldcote,5,75,61.68
Talladega Nights: The Ballad of Ricky Bobby,Mozelle Mackrill,16,40,65.1
Going Overboard,Jasmin Gayton,4,52,72.65
Tai Chi Hero,Hetti Avann,14,33,148.61
Craig Ferguson: A Wee Bit o' Revolution,Brendon Locks,16,31,65.78
Summer Holiday,Roobbie Kirwood,8,27,185.93
"Sleeping Beauty, The (La belle endormie)",Yves Deeny,15,24,74.0
Mr. Brooks,Drucill Riccelli,5,48,210.25
Solaris,Claudianus Toynbee,11,40,138.25
Zombie Apocalypse,Filide Koopman,16,72,190.11
All the Colors of the Dark,Maitilde Shavel,1,57,179.25
Zapped!,Rik Tye,12,53,143.47
Saw,Tobe Jakubovics,3,34,107.04
"Pain in the Ass, A (L'emmerdeur)",Otis Heims,13,67,191.41
Zero Charisma,Evin Fishbie,2,64,31.97
Alice and Martin (Alice et Martin),Serge Sigars,19,74,101.97
New Gladiators (I guerrieri dell'anno 2072),Carolina Titheridge,5,57,187.92
The Green Prince,Sonni Bakhrushkin,16,37,66.22
Fantastic Four: Rise of the Silver Surfer,Alano Pellamonuten,5,75,153.07
Luke and Lucy: The Texas Rangers (Suske en Wiske: De Texas rakkers),Loria Minor,13,37,100.38
"Times of Harvey Milk, The",Mose O' Connell,15,50,170.67
"Life of Aleksis Kivi, The (Aleksis Kiven elämä)",Peder Darrel,16,27,222.29
"Buy the Ticket, Take the Ride: Hunter S. Thompson on Film",Linet Raft,2,39,227.28
"Rising Place, The",Ashlie Duplock,7,34,104.98
Age of Uprising: The Legend of Michael Kohlhaas (Michael Kohlhaas),Gustavus Gislebert,13,76,83.72
"Deal, The",Nannette Lebond,20,47,212.64
R100,Kermie Barniss,1,26,218.29
Planet of Snail,Estel Enns,9,52,154.54
Vinyan,Barbabra Awty,8,31,96.17
"Man - Woman Wanted (Poszukiwany, poszukiwana)",Gabbie Andre,8,35,70.28
In the Year of the Pig,Hyacinthia Mowett,20,22,187.34
Strike (Stachka),Arlan Baylis,4,64,55.94
Something Is Happening (Kuch Kuch Hota Hai),Halie De Vries,3,39,132.76
Sammy and Rosie Get Laid,Sully Garvagh,13,28,73.92
Certified Copy (Copie conforme),Wandie Shallcroff,17,26,142.11
"Reluctant Fundamentalist, The",Ulysses Swettenham,1,74,66.41
Comedian,Claresta Tabour,1,29,208.02
Fast Life,Kenyon Spittall,12,27,157.46
American Madness,Joshuah Giacomuzzo,18,70,247.4
Two Days,Shelba Thornber,1,63,99.48
49 Up,Foss Dugdale,13,72,224.48
Starsuckers,Maurene Edinburough,2,32,226.6
Distant Thunder (Ashani Sanket),Davy Jeenes,17,22,176.59
Abandon,Nicole Sindall,5,41,86.25
Freaky Deaky,Tynan Pendell,17,74,154.45
Rentun Ruusu,Hilton Helstrom,15,27,178.72
WUSA,Gustie Stork,15,34,173.64
Stray Dogs,Roarke Gask,2,27,159.94
Aelita: The Queen of Mars (Aelita),Pepita Scolding,20,43,131.79
Petting Zoo,Agace Moizer,10,48,248.33
Right America: Feeling Wronged - Some Voices from the Campaign Trail ,Isaiah Wilcinskis,15,28,62.47
Fall,Sallee Wabb,6,36,200.35
Björk at the Royal Opera House,Noam Vowels,4,57,172.51
Vampire's Kiss,Kip Lyptratt,1,72,33.15
Twilight of the Ice Nymphs,Boris Le Grys,18,51,112.96
Blue Sunshine,Taylor Hopewell,9,77,67.36
Sylvia and the Ghost,Aldwin Tellenbroker,4,30,90.09
Mad Love (Sappho),Land Skewes,18,51,69.34
Chainsaw Maid,Spencer Flewan,18,32,65.91
Lonely Street,Kelcy Gravy,15,32,55.53
Johnny Eager,Jaquith Primo,12,43,135.85
"Long Way Down, A",Gilly Streeten,6,46,179.28
Monte Carlo,Anastasie Talmadge,2,57,232.91
If You Are the One,Ric Shuxsmith,2,73,213.82
Sunset,Yoko Bunten,11,70,210.28
Miracles - Mr. Canton and Lady Rose,Bil Marthen,10,20,57.6
"Guide to Recognizing Your Saints, A",Frasco Timmis,4,32,51.34
As Cool As I Am,Margette Hought,2,23,201.63
"Gypsy Moths, The",Jaimie Rebbeck,15,27,208.98
Straight to Hell,Elmo Chree,14,39,249.18
Dennis the Menace,Emilio Gait,5,60,205.61
Monga,Greggory Wallenger,16,38,76.33
"Adventures of Huckleberry Finn, The",Alethea Aizic,9,73,131.44
Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese),Faythe Ditts,16,54,202.9
"Little Foxes, The",Tatiania Dean,10,39,143.32
French Roast,Emiline Tremellier,3,27,106.68
Blood from the Mummy's Tomb,Shirlee Leece,18,33,155.24
Trumbo,Kellie Clifforth,16,75,152.54
Mr. Baseball,Wenona Catley,16,31,191.47
"President's Lady, The",Jacobo Moran,5,68,233.79
"Crew, The",Ashlen Shurmer,14,55,101.33
Only When I Laugh,Paulita Stain,10,79,62.59
Tobor the Great,Rosie Storror,7,54,53.03
War and Peace,Erminia Spada,3,56,84.6
'night Mother,Tripp Scemp,1,28,114.29
The Walking Stick,Prentiss Knyvett,6,80,50.36
"Severed Arm, The",Johannah Dunk,2,20,99.15
"Return to Homs, The",Cathyleen Stansall,14,34,161.66
Kai Po Che!,Ivy Pulham,5,55,137.19
Restless Blood (Levoton veri),Allison Cod,2,47,223.77
Run Silent Run Deep,Cassy Leathwood,4,66,82.85
Temple Grandin,Constanta Hessentaler,2,67,217.56
101 Dalmatians (One Hundred and One Dalmatians),Nicol Buddock,17,72,227.74
"Grace Lee Project, The",Matthiew Brauner,11,69,108.35
Hercules and the Lost Kingdom,Nell Drees,14,56,130.76
Mile... Mile & a Half,Hasty Woodhouse,15,32,88.53
True Story,Olivie Bouzan,4,36,188.33
Turistas,Pepillo Dalbey,7,73,214.27
Cromwell,Marc Cellone,6,20,93.4
Epidemic,Jenna Gaunt,3,56,162.04
Choose Me,Frannie Bisseker,8,42,218.05
"Devil's Carnival, The",Saxon Reisin,16,68,123.63
"Grudge, The",Marielle Thowes,18,56,96.12
Detachment,Josie Medland,1,79,168.94
Django,Madelle Sarsons,3,66,177.05
Angels Over Broadway,Maura Essberger,17,78,228.68
Venus & Fleur,Preston Ferrai,12,21,235.03
Somewhere Between,Zonda Bruhnicke,10,79,190.34
"Cat and the Canary, The",Frieda Warder,14,65,232.54
Winter Nomads,Verge Bentote,12,45,33.01
Dirty Girl,Martelle Wenban,11,53,127.43
Guardians of the Galaxy,Bria Neary,12,32,99.28
"Touch of Spice, A (Politiki kouzina)",Caye McGonigle,18,74,80.95
My Wife is an Actress (Ma Femme est une Actrice),Rosanne Brion,4,80,101.85
Dinner for Schmucks,Tootsie Wands,7,63,204.61
The Jackie Robinson Story,Lorelle Keson,19,65,237.11
Godzilla: Final Wars (Gojira: Fainaru uôzu),Anne-marie Marjanski,11,77,75.54
Harrison's Flowers,Benyamin Aloway,11,50,101.66
"Hell Without Limits (Lugar sin límites, El)",Glori Pauli,15,30,193.47
"Road to Ruin, The",Daniel Bang,19,52,245.62
Dance of Outlaws (Häätanssi),Pansie Pardi,2,77,107.77
Riff-Raff,Hyacinth Geindre,1,54,71.92
Zodiac,Cristi Currey,10,36,210.99
I Love Your Work,Filippa Naire,12,65,47.83
Deep Red (Profondo rosso),Aurthur Banke,6,38,155.13
"Trouble with the Truth, The",Merline McInnery,6,75,96.61
Mogambo,Steve Whyte,19,39,204.58
"Summer at Grandpa's, A (Dong dong de jia qi)",Yanaton McAvaddy,3,50,121.58
Black Rose Ascension (Kurobara shôten),Arlena Degli Abbati,14,43,124.82
Halloween: Resurrection (Halloween 8),Allx Gounod,2,53,223.86
In the Year of the Pig,Elvira D'Alessio,19,22,114.82
"Four Times, The (Le Quattro Volte)",Ludvig Yateman,1,37,80.67
Defying Gravity,Livvie Ody,10,64,186.69
Homefront,Kassey Bartlosz,14,38,137.54
Blame it on Fidel! (La faute à Fidel!),Darice Rudsdell,6,61,231.13
FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com),Corrianne Barrow,20,23,148.23
Saint Jack,Markos Sturton,4,46,148.69
Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo),Arlyn Scarsbrick,10,79,147.23
"Emerald Forest, The",Egon Klehyn,8,49,132.82
Vääpeli Körmy - Taisteluni,Fay Bramhill,20,47,76.26
"Life is a Bed of Roses (Vie est un roman, La)",Charmian Amy,6,70,247.98
Bhaag Milka Bhaag,Lian Betonia,12,35,120.4
Sonny Boy,Aluin Clarke-Williams,12,73,99.75
Uwasa No Onna (The Woman in the Rumor) (Her Mother's Profession),Bing Clemmitt,11,69,43.56
Chillerama,Glennis Gurg,10,45,148.53
Jacob's Ladder,Shermy Uphill,12,42,181.96
Passion,Jerald Andreucci,6,68,105.6
Harem,Melany Newbatt,20,74,237.78
"Fast & Furious (Fast and the Furious 4, The)",Roy Cockarill,14,59,164.26
I Love Your Work,Etty Treamayne,4,43,98.01
"Spanish Prisoner, The",Alasteir Ricardin,19,56,126.52
Diary of a Hitman,Celinda Whotton,1,33,130.44
"Lonely Passion of Judith Hearne, The",Claribel Backshill,1,41,143.26
Doomed to Die,Eliot Queenborough,12,47,139.72
Grace Is Gone,Shela Swetmore,4,37,41.76
Messengers 2: The Scarecrow,Jorey Fairbrother,7,76,58.61
Family Life,Bunnie Fawks,3,50,67.6
Wing Chun,Celina Kilduff,3,26,96.35
Sign 'o' the Times,Gavrielle Clue,11,75,97.36
Rapa Nui,Lilllie Murrhaupt,11,41,109.14
Dinner Rush,Fanni Obispo,5,30,121.44
Lord of the Flies,Kerwinn Brosch,14,53,91.76
"Immigrant, The",Eric Pawson,1,72,234.43
Design for Living,Floris Boissier,6,30,100.03
Tere Naam,Ryun Plastow,3,44,179.89
Tom Jones,Hannah MacKeogh,13,63,240.77
Jack the Bear,Graham Iliffe,20,73,107.69
Electra Glide in Blue,Innis Herley,12,58,192.78
"Wrong Move, The (Falsche Bewegung)",Seymour Rosso,5,32,249.17
For Ever Mozart,Swen O' Mulderrig,5,37,153.9
See No Evil,Barb Wreiford,7,58,173.77
"Girl of Your Dreams, The (Niña de tus ojos, La)",Holli Illsley,10,24,115.06
Breaking In,Manny Mellodey,10,41,76.76
Shit Year,Merrilee Hunnawill,7,32,39.13
Fires Were Started,Lotti Dillingstone,1,68,221.93
Suspect Zero,Madlen Tesmond,6,41,127.56
"Apparition, The",Andras Butner,7,35,106.93
Gigante,Bianka Baldetti,19,74,101.96
"Best of Times, The",Adaline Fores,19,32,118.82
Fire in the Blood,Cherilyn Krugmann,13,67,181.28
Border Radio,Erin Toohey,13,41,156.75
Oxford Blues,Sheelah Humpage,6,21,192.21
"Lost Battalion, The",Dell Scholte,19,79,47.26
"Salton Sea, The",Tan Tremonte,8,31,196.95
Bertie and Elizabeth,Madelon Bockings,9,65,207.69
Deadtime Stories,Karon Fathers,3,63,248.47
In the Fog (V tumane),Grove Dart,15,53,43.34
"American Soldier, The (Der amerikanische Soldat)",Kristi Gregoletti,8,25,73.1
"Cottage, The",Lay Chetter,15,54,98.56
Barton Fink,Lane Fripp,16,67,175.72
Garfield: The Movie,Fred McAvey,5,47,65.81
Castaway on the Moon (Kimssi pyoryugi),Karena Keddle,20,41,74.83
Airbag,Wilmer Dutteridge,1,57,115.59
Under the Boardwalk: The Monopoly Story,Arliene Wastall,10,66,210.86
"Eleventh Hour, The",Idalia Stanlick,11,33,170.37
Latitudes,Rey Hapke,17,57,66.06
"Cutting Edge: Going for the Gold, The",Hortensia De Winton,4,78,76.89
Brenda Starr,Brana Jost,20,39,187.77
Eaux d'artifice,Doe Motton,7,55,105.74
29 Palms,Zorana Barsby,19,39,129.44
Over Her Dead Body,Kelsy Vallow,14,33,35.01
Aashiqui 2,Allissa Kimmerling,12,33,84.73
"Island President, The",Alene Woofinden,11,53,220.64
Black Mask (Hak hap),Emera Naptin,12,73,93.54
"Porn Theater (Chatte à deux têtes, La)",Heda Bougen,6,60,209.29
Austin Powers: International Man of Mystery,Benjamen Wein,16,45,224.13
"Search for One-eye Jimmy, The",Cobby Finnan,14,52,178.19
Wyoming Renegades,Fabiano Amorts,14,24,226.93
Two Days,Anastasie Markova,2,31,68.08
Big Fella,Ely Sibbson,7,63,223.92
Night Train to Munich,Vaclav Beazey,3,36,236.71
"One-Armed Swordsman, The (Dubei dao)",Pace Acomb,17,37,31.81
Tooth & Nail,Nonna Davidovici,10,36,228.8
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion),Antonina Denizet,14,24,198.08
"Brotherhood of the Wolf (Pacte des loups, Le)",Pet Chittim,16,21,75.84
Time Stood Still (Il tempo si è fermato),Irvin Febre,4,57,90.44
Aces High,Burl Aicken,20,40,217.79
Little Miss Sunshine,Andee Prangley,8,24,146.12
Devil Girl From Mars,Michael Eddow,15,67,109.86
Small Town of Anara (Qalaqi Anara),Vidovic Schrader,18,60,156.65
Miracle,Starla Kadwallider,18,62,221.21
Brighton Rock,Philomena Adanez,16,30,236.15
Agnes of God,Myca Dunsford,10,47,182.33
Black Sunday,Kevyn Gannaway,7,61,97.44
Coraline,Jerry Bliven,15,22,154.15
7 Dwarves: The Forest Is Not Enough,Rollin Peattie,15,38,109.83
"Little Princess, A",Giralda Noir,15,21,133.03
Different from You and Me (Anders als du und ich) ,Devlen Chasemore,10,64,169.36
Street Kings,Josefina Mc Ilory,16,62,156.96
"Child's Christmas in Wales, A",Abby Mossman,3,76,194.54
Kummeli Stories,Monroe Masic,18,45,92.48
"Host, The",Cleo McCarver,20,21,247.3
"Big Mommas: Like Father, Like Son",Elbertine Van den Dael,20,28,137.41
Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô),Sophey Bernardin,14,71,127.88
Not Another Teen Movie,Damita Crookes,15,30,119.29
Trust the Man,Wadsworth Meriel,3,76,49.84
Svengali,Pip Trevethan,19,26,151.22
Lured,Averil Hacaud,5,69,150.87
Strangers with Candy,Dannel Staynes,6,55,53.52
Plain Dirty (a.k.a. Briar Patch),Franni Wands,9,58,37.26
Landet som icke är,Jere Stringer,11,25,118.27
"Oh, Sun (Soleil O)",Jamey Winterton,19,30,184.56
"Havre, Le",Adelice Pickaver,1,53,148.78
Besa (Solemn Promise),Mavis Surpliss,3,24,249.48
Alien Nation: Millennium,Ferd Ivanonko,9,75,47.21
Through and Through (Na wylot),Riannon O'Hear,1,38,118.69
Ladyhawke,Joye Cucinotta,2,60,222.23
Come Undone (Cosa voglio di più),Theresa Eastcourt,5,37,198.02
"Lion King II: Simba's Pride, The",Tiff MacNeill,19,74,38.91
All Mine to Give,Josie Bubb,2,72,44.48
Michael the Brave (Mihai Viteazul),Miof mela Luton,14,60,46.9
Withnail & I,Emmett Greenroa,7,63,64.15
Woyzeck,Florella Simpson,20,63,65.12
"Edukators, The (Die Fetten Jahre sind vorbei)",Ximenes Pehrsson,11,67,97.11
Last Days Here,Constantin Thaller,13,58,121.13
Teenage Dirtbag,Nat Bownas,4,51,75.99
Our Vinyl Weighs a Ton: This Is Stones Throw Records,Hillery Stallard,9,72,51.61
"Price of Milk, The",Thorin Quarterman,8,72,40.26
"Niagara, Niagara",Layne Phillpotts,14,23,186.83
Beautiful Thing,Lilly Greenway,4,46,197.71
The Last of the Finest,Alvan Shand,8,37,140.95
Still Bill,Quill Schubart,7,58,158.77
Masculin Féminin,Fiorenze Terrett,3,41,211.16
"Last Horror Movie, The",Lita Purkis,12,45,67.37
"Angel Named Billy, An",Mame Lerwill,15,43,98.93
"Nanny Diaries, The",Morley Gayne,10,44,77.62
"Resurrection, A",Martita Hillin,6,26,198.38
"Crouching Tiger, Hidden Dragon (Wo hu cang long)",Derril Island,19,78,156.55
Breath (Soom),Domenico McKyrrelly,5,38,120.68
Pontiac Moon,Seline Fink,18,42,55.85
Behind the Sun (Abril Despedaçado),Cam Linneman,12,35,101.39
All the Way Home,Marmaduke Reinbech,3,59,174.76
Born to Win,Mozelle Merriday,11,24,80.5
Our Curse,Reider Skullet,14,77,125.71
Green Dragon,Violette Fillimore,7,72,247.77
Tracy Morgan: Black and Blue,Farrand Zuker,13,53,110.33
Blue State,Amble Duckett,12,68,219.49
State Fair,Simeon Rasor,15,54,136.82
"Ipcress File, The",Mellicent Fehner,20,46,35.26
Romy and Michele's High School Reunion,Osmond Bamb,14,80,51.65
The Good Son,Ancell Holston,6,20,105.43
Laurence Anyways,Kally Phillcox,4,77,69.29
Doomsday,Alano Havick,3,33,108.16
Wake,Rowe Drains,20,78,183.92
"Confession, The (L'aveu)",Frannie Hutley,10,29,57.91
"Dunwich Horror, The",Peirce Yabsley,13,65,169.38
History of the World: Part I,Terrill Label,16,45,109.54
Execution Squad,Rebecka Scrimgeour,8,69,101.88
Beethoven's Big Break,Hobard Glayzer,8,44,103.54
City of God (Cidade de Deus),May Pheasey,5,65,53.26
The Happy Road,Ulrika Shepeard,7,78,70.51
